,organization_id,name,users.TOTAL,territories,percent
3205,3833,Association IMAJ,2.0,95,0.1221001221001221
807,1047,Atouts Cours,2.0,75,0.1221001221001221
3272,3905,Forum Jorge François (06),2.0,06,0.1221001221001221
912,1173,Croix-Rouge française | Unité locale Paris 15,2.0,75,0.1221001221001221
818,1060,Aux captifs la libération,2.0,75,0.1221001221001221
3216,3845,Point Information Jeunesse Paris,2.0,75,0.1221001221001221
3267,3900,Secours Catholique de l'Essonne,2.0,91,0.1221001221001221
828,1073,Barreau de Paris Solidarité,2.0,75,0.1221001221001221
3260,3893,CCAS Menton (06),2.0,06,0.1221001221001221
3238,3869,UDAF 95 - Union Départementale des Associations Familiales du Val d'Oise,2.0,95,0.1221001221001221
847,1096,CASVP,2.0,75,0.1221001221001221
3248,3879,Mairie de Savigny-sur-Orge,2.0,91,0.1221001221001221
676,905,Association AIDES Strasbourg,2.0,67,0.1221001221001221
1169,1476,Samu Social de Paris | ESI La maison dans le jardin,2.0,75,0.1221001221001221
1173,1483,Secours Catholique | Délégation de Paris,2.0,75,0.1221001221001221
2918,3515,Mission Locale Val d'Oise Est,2.0,95,0.1221001221001221
1487,1849,Croix-Rouge des Yvelines - Unité locale de Saint-Quentin-en-Yvelines,2.0,78,0.1221001221001221
1482,1844,Handi Val de Seine - Unafam 78,2.0,78,0.1221001221001221
2834,3416,Ville de Fosses,2.0,95,0.1221001221001221
2837,3419,Roissy Pays de France,2.0,95,0.1221001221001221
2838,3420,Pôle Ressource 95,2.0,95,0.1221001221001221
3445,4089,Mairie de Mitry-Mory,2.0,77,0.1221001221001221
3656,4314,Les Restaurants du Coeur - Relais du Coeur des Bouches du Rhône,2.0,13,0.1221001221001221
2868,3457,CSC Le Galet,2.0,67,0.1221001221001221
1427,1783,Mairie de Versailles,2.0,78,0.1221001221001221
2875,3465,PHARMA solidaires,2.0,75,0.1221001221001221
541,634,CSC Chateau,2.0,44,0.1221001221001221
2897,3488,Beta Gouv,2.0,75,0.1221001221001221
2913,3509,CCAF de Chelles,2.0,77,0.1221001221001221
2914,3510,AFPM - Association Familiale Protestante Maranatha,2.0,95,0.1221001221001221
558,658,Lazare,2.0,44,0.1221001221001221
1174,1484,Secours Catholique - Cafés de rue et accueil de jour La Voûte,2.0,75,0.1221001221001221
2920,3517,Pôle Emploi (06),2.0,06,0.1221001221001221
3390,4034,Groupe SOS Solidarités (06),2.0,06,0.1221001221001221
3388,4032,La Salle à Manger,2.0,92,0.1221001221001221
575,677,Diaconat protestant,2.0,44,0.1221001221001221
576,678,Parrains Par Mille,2.0,44,0.1221001221001221
1286,1627,Mission locale du Mantois,2.0,78,0.1221001221001221
1276,1615,Entraide Eglise Protestante Unie de Versailles,2.0,78,0.1221001221001221
2990,3592,Association ARILE - Site Horizon,2.0,77,0.1221001221001221
625,742,Association Saint-Benoît Labre,2.0,44,0.1221001221001221
1248,1566,Ville de Paris | Bibliothèque Vàclav Havel,2.0,75,0.1221001221001221
3008,3616,Croix-Rouge Française - 44,2.0,44,0.1221001221001221
1227,1545,Ville de Paris | Bibliothèque Goutte D'Or,2.0,75,0.1221001221001221
651,880,Contact et Promotion,2.0,67,0.1221001221001221
654,883,SOS Hépatites Alsace-Lorraine,2.0,67,0.1221001221001221
1436,1793,CAF des Yvelines,2.0,78,0.1221001221001221
3249,3880,Association Empreintes,2.0,77,0.1221001221001221
89,108,Mairie de Lesparre Medoc,2.0,33,0.1221001221001221
1974,2396,Groupement Abri,2.0,93,0.1221001221001221
4062,4732,Association Gammes,2.0,34,0.1221001221001221
2264,2701,Espaces Insertion - Département du Val-de-Marne,2.0,94,0.1221001221001221
174,211,Le Planning Familial,2.0,33,0.1221001221001221
2181,2612,Hôpital Bicêtre,2.0,94,0.1221001221001221
4067,4737,Secours Catholique - Délégation du Berry,2.0,36,0.1221001221001221
1952,2374,Le Rocher Oasis des Cités - Bondy,2.0,93,0.1221001221001221
3665,4323,Val de Brie Emmaüs,2.0,94,0.1221001221001221
151,186,Force Femmes,2.0,33,0.1221001221001221
1949,2371,La Cimade - Aulnay-sous-Bois,2.0,93,0.1221001221001221
2102,2528,Médecins du Monde,2.0,93,0.1221001221001221
3774,4437,"ANDES - Provence  Alpes Côte-D'azur, Rhône-Alpes et Corse",2.0,13,0.1221001221001221
44,63,Mairie de Coutras,2.0,33,0.1221001221001221
2076,2502,Centre Social Louise Michel,2.0,93,0.1221001221001221
2333,2771,Ville d'Alfortville,2.0,94,0.1221001221001221
2386,2829,Comité pour la santé des exilés (Comede),2.0,94,0.1221001221001221
2033,2459,CCAS de Montreuil,2.0,93,0.1221001221001221
2441,2886,PIJ de Vincennes,2.0,94,0.1221001221001221
2297,2735,Mairie de Sucy-en-Brie,2.0,94,0.1221001221001221
1967,2389,Régie Associative Pierreﬁttoise d'insertion et de développement (RAPID),2.0,93,0.1221001221001221
2311,2749,Centre Henri Duchêne,2.0,94,0.1221001221001221
3695,4353,Association Aurore 77,2.0,77,0.1221001221001221
2314,2752,Pôle Emploi,2.0,94,0.1221001221001221
2170,2601,Médiathèque Roger Gouhier,1.0,93,0.06105006105006105
3018,3630,Fraternité St Nazaire,1.0,44,0.06105006105006105
1234,1552,Ville de Paris | Bibliothèque Louise Walser-Gaillard (ex Chaptal),1.0,75,0.06105006105006105
1233,1551,Ville de Paris | Bibliothèque Louise Michel,1.0,75,0.06105006105006105
1226,1544,Ville de Paris | Bibliothèque François Villon,1.0,75,0.06105006105006105
3029,3643,A.S.E.L.,1.0,94,0.06105006105006105
3031,3645,Association AJC pour les droits des victimes de violence morale intrafamiliale,1.0,78,0.06105006105006105
2171,2602,Médiathèque-Ludothèque du Londeau,1.0,93,0.06105006105006105
1240,1558,Ville de Paris | Bibliothèque Nationale de France,1.0,75,0.06105006105006105
1254,1579,Ville de Paris | Mairie du 17ème,1.0,75,0.06105006105006105
2169,2600,Bibliothèque François Mitterrand,1.0,93,0.06105006105006105
2168,2599,Bibliothèque André Malraux,1.0,93,0.06105006105006105
1279,1618,Ordre de Malte France,1.0,78,0.06105006105006105
1277,1616,"RIVE: ""Accueil de jour pour femmes et enfants""",1.0,78,0.06105006105006105
2362,2802,Point Informatique pour Tous / Ville d'Ivry-sur-Seine,1.0,94,0.06105006105006105
2360,2800,Maison pour Tous Chevilly,1.0,94,0.06105006105006105
2357,2797,Rédige Assistance,1.0,94,0.06105006105006105
2353,2792,Association Approche,1.0,94,0.06105006105006105
1273,1611,Ville de Saint-Germain-en-Laye,1.0,78,0.06105006105006105
2350,2789,Visa 94,1.0,94,0.06105006105006105
1270,1606,Association ELLSA,1.0,78,0.06105006105006105
2347,2786,Mission Locale INNOVAM,1.0,94,0.06105006105006105
2993,3595,Croix Rouge - Accueil de jour de Chelles,1.0,77,0.06105006105006105
1264,1596,SOS Accueil,1.0,78,0.06105006105006105
2997,3601,Chez Phiphi - tisseur de liens,1.0,75,0.06105006105006105
1257,1582,Ville de Paris | Médiathèque Marguerite Duras,1.0,75,0.06105006105006105
1255,1580,Ville de Paris | Médiathèque De La Canopée La Fontaine,1.0,75,0.06105006105006105
2346,2785,Mission Locale des Bords de Marne,1.0,94,0.06105006105006105
1209,1527,Ville de Paris | Bibliothèque Benjamin Rabier,1.0,75,0.06105006105006105
1249,1567,Ville de Paris | Bibliothèque Valeyre,1.0,75,0.06105006105006105
2167,2598,Bibliothèque Denis Diderot,1.0,93,0.06105006105006105
1213,1531,Ville de Paris | Bibliothèque Colette Vivier,1.0,75,0.06105006105006105
1197,1515,URACA,1.0,75,0.06105006105006105
3040,3657,Petite Main Tendue,1.0,94,0.06105006105006105
1165,1472,Saint-Vincent-de-Paul - Conseil de Paris | Le Cellier,1.0,75,0.06105006105006105
2179,2610,France Terre d'Asile 94,1.0,94,0.06105006105006105
2340,2779,UDSM,1.0,94,0.06105006105006105
2339,2778,CSAPA Regain,1.0,94,0.06105006105006105
1172,1481,Secours Catholique | Accueil Javel,1.0,75,0.06105006105006105
1171,1478,"Samu Social de Paris | Lieu d’accueil, d’hygiène et de soins dédié aux femmes",1.0,75,0.06105006105006105
2335,2774,Ville de Valenton,1.0,94,0.06105006105006105
1168,1475,Salon de beauté solidaire Joséphine,1.0,75,0.06105006105006105
1164,1471,Saint-Vincent-de-Paul   Accueil 15,1.0,75,0.06105006105006105
3058,3676,Association Les Disciples,1.0,67,0.06105006105006105
1163,1470,Saint-Nicolas des Champs,1.0,75,0.06105006105006105
2334,2773,CLLAJ Val de Bièvre,1.0,94,0.06105006105006105
1162,1469,Saint-Ambroise,1.0,75,0.06105006105006105
1161,1468,Saint Vincent de Paul - Conseil de Paris | Le relais Copernic,1.0,75,0.06105006105006105
1159,1466,Saint Vincent de Paul - Conseil de Paris | La boutique de Vincent,1.0,75,0.06105006105006105
1157,1464,Saint Vincent de Paul - Conseil de Paris | La boutique de Sainte Jeanne de Chantal,1.0,75,0.06105006105006105
3071,3690,Association FAIRE,1.0,92,0.06105006105006105
1177,1491,Caritas Sud 14e- Secours Catholique,1.0,75,0.06105006105006105
1183,1498,Solidarité Jean Merlin,1.0,75,0.06105006105006105
1206,1524,Ville de Paris | Bibliothèque Arthur Rimbaud,1.0,75,0.06105006105006105
3049,3667,Association Bienfaisance Martin Luther King,1.0,94,0.06105006105006105
1202,1520,Ville de Paris | Bibliothèque Aimé Césaire,1.0,75,0.06105006105006105
3044,3662,Association Paroles de femmes - Le Relais,1.0,77,0.06105006105006105
1199,1517,Ville de Pairs | Bibliothèque Françoise Sagan,1.0,75,0.06105006105006105
3046,3664,Médiathèque Gérard Billy,1.0,77,0.06105006105006105
1287,1628,Mission Locale SQYWAY 16/25,1.0,78,0.06105006105006105
3047,3665,Médiathèque Astrolabe de Melun,1.0,77,0.06105006105006105
2173,2604,Maison de l'emploi de Noisy-le-Sec,1.0,93,0.06105006105006105
3050,3668,Ummanité,1.0,94,0.06105006105006105
1185,1501,SOS Racisme,1.0,75,0.06105006105006105
2174,2605,CAARUD PROSES - Saint-Denis,1.0,93,0.06105006105006105
2343,2782,Mission Locale Orly / Choisy / Villeneuve-le-Roi / Ablon-sur-Seine,1.0,94,0.06105006105006105
1191,1509,Union des Etudiants Exilés - UEE,1.0,75,0.06105006105006105
3052,3670,La Boussole Urbaine,1.0,77,0.06105006105006105
3053,3671,Ordre de Malte France - Délégation du Val de Marne,1.0,94,0.06105006105006105
3054,3672,JeSuisCharclo Melun,1.0,77,0.06105006105006105
3055,3673,Question Confiance,1.0,44,0.06105006105006105
2148,2579,Maison de quartier Pasteur,1.0,93,0.06105006105006105
2975,3577,Mutualité Sociale Agricole d'Alsace,1.0,67,0.06105006105006105
2980,3582,Espace Simone de Beauvoir ,1.0,44,0.06105006105006105
2925,3522,DECOUVERTE & PARTAGE (06),1.0,06,0.06105006105006105
2894,3485,La Porte Ouverte Bordeaux,1.0,33,0.06105006105006105
2388,2831,Tout Azimut,1.0,94,0.06105006105006105
2899,3490,CCAS Marolles-en-Hurepoix,1.0,91,0.06105006105006105
2901,3492,Les Belles Mijoteuses,1.0,94,0.06105006105006105
2903,3494,Marie et Alphonse,1.0,44,0.06105006105006105
1380,1736,Mairie de Bouafle,1.0,78,0.06105006105006105
2909,3504,Congrégation de l'Armée du Salut,1.0,75,0.06105006105006105
2911,3507,Délégation Départementale du Secours Catholique de Seine-et-Marne,1.0,77,0.06105006105006105
2912,3508,Croix Rouge - Délégation Territoriale de la Seine-et-Marne,1.0,77,0.06105006105006105
2387,2830,De la rue à la Scène,1.0,94,0.06105006105006105
2121,2548,Salle de quartier Villette,1.0,93,0.06105006105006105
2385,2827,Centre hospitalier intercommunal Villeneuve-Saint-Georges,1.0,94,0.06105006105006105
1368,1724,Ville de Rosny-sur-Seine,1.0,78,0.06105006105006105
2919,3516,Association Pitchoun',1.0,33,0.06105006105006105
2130,2561,Permanence RESF Les Lilas,1.0,93,0.06105006105006105
2921,3518,Un petit bagage d'amour,1.0,75,0.06105006105006105
2923,3520,Restos du Coeur - Association départementale de la Seine-et-Marne,1.0,77,0.06105006105006105
2891,3482,La Fabrique Nomade,1.0,75,0.06105006105006105
1398,1754,Mairie d'Orgeval,1.0,78,0.06105006105006105
1400,1756,Ecoute et Soutien pour l’emploi,1.0,78,0.06105006105006105
1411,1767,Mairie de Carrières-sur-Seine,1.0,78,0.06105006105006105
2871,3460,Bras ouverts (06),1.0,06,0.06105006105006105
1418,1774,Antenne Boucle de Seine d'Habitat et Humanisme Ile -de-France,1.0,78,0.06105006105006105
2115,2542,Salle de quartier André Karman,1.0,93,0.06105006105006105
2876,3466,Société de Saint-Vincent-de-Paul,1.0,91,0.06105006105006105
2877,3467,Association des Jeunes du Pavé Neuf (AJPN),1.0,93,0.06105006105006105
2879,3469,EBS Le Relais Gironde,1.0,33,0.06105006105006105
1412,1768,Mairie de Chatou,1.0,78,0.06105006105006105
2880,3470,Maison municipale de quartier Centre-ville Gagarine,1.0,94,0.06105006105006105
2888,3479,Association Marché sur l'Eau,1.0,93,0.06105006105006105
2881,3471,WeJob,1.0,33,0.06105006105006105
2883,3474,GEM Médiagora Bordeaux,1.0,33,0.06105006105006105
2884,3475,PLIE du Grand Paris Sud Est Avenir,1.0,94,0.06105006105006105
2885,3476,Info Jeunes - Point Information Jeunesse de Jouy-en-Josas,1.0,78,0.06105006105006105
2886,3477,Association Animation Médiation Insertion (A.M.I),1.0,67,0.06105006105006105
2887,3478,Centre Social et Culturel La Noue-Clos Français,1.0,93,0.06105006105006105
2117,2544,Salle de quartier 4 chemins,1.0,93,0.06105006105006105
2924,3521,Association ADAM (06),1.0,06,0.06105006105006105
2928,3525,Fédération des Aveugles Alsace Lorraine Grand Est,1.0,67,0.06105006105006105
2147,2578,Centre Dentaire Paul Vaillant Couturier,1.0,93,0.06105006105006105
2939,3536,Conseil Départemental d'Accès au Droit (CDAD) (06),1.0,06,0.06105006105006105
1317,1663,Planning Familial,1.0,78,0.06105006105006105
1309,1655,Centre Hospitalier Théophile Roussel,1.0,78,0.06105006105006105
1306,1652,La Sauvegarde des Yvelines,1.0,78,0.06105006105006105
2972,3574,Epi'Sol,1.0,75,0.06105006105006105
2364,2804,Ville de Champigny-sur-Marne - Régie de quartier,1.0,94,0.06105006105006105
1302,1648,ADOMA,1.0,78,0.06105006105006105
2973,3575,La Boutique -AVVEJ-CHRS Stuart Mill,1.0,78,0.06105006105006105
1300,1645,Département de Santé Publique Yvelines,1.0,78,0.06105006105006105
1299,1644,CAARUD Mantes la Jolie,1.0,78,0.06105006105006105
1298,1643,Mairie de Mantes-la-Ville,1.0,78,0.06105006105006105
1297,1642,ADIL des Yvelines,1.0,78,0.06105006105006105
2974,3576,Association PAR ENchantement,1.0,67,0.06105006105006105
2976,3578,AuditionSolidarité,1.0,75,0.06105006105006105
1293,1636,AGORAé de Saint-Quentin-en-Yvelines,1.0,78,0.06105006105006105
2977,3579,Konexio Bordeaux,1.0,33,0.06105006105006105
2978,3580,Elancoeur - ELANCOURT,1.0,78,0.06105006105006105
2979,3581,Association ALICE,1.0,95,0.06105006105006105
2958,3558,BIJ Aulnay-sous-Bois,1.0,93,0.06105006105006105
2957,3557,La Fringalerie,1.0,33,0.06105006105006105
2956,3556,ABBA - Association Baptiste de Bienveillance et d’Action,1.0,67,0.06105006105006105
2140,2571,Centre social Mitry-Ambourget,1.0,93,0.06105006105006105
2940,3537,Collectivité européenne d’Alsace,1.0,67,0.06105006105006105
2941,3538,Association Créative France,1.0,95,0.06105006105006105
2942,3539,Service Jeunesse de Cergy,1.0,95,0.06105006105006105
1340,1693,Plaisir vestiaire,1.0,78,0.06105006105006105
2377,2819,Mission locale Bièvres Val-de-Marne,1.0,94,0.06105006105006105
1339,1692,Association DIRE,1.0,78,0.06105006105006105
2138,2569,Salle de quartier Maladrerie Émile Dubois,1.0,93,0.06105006105006105
2368,2810,PIJ de Boissy-Saint-Léger,1.0,94,0.06105006105006105
1324,1670,Mairie de Mantes-la-Ville,1.0,78,0.06105006105006105
1337,1690,Ville de Plaisir,1.0,78,0.06105006105006105
1334,1682,Mode d'emploi,1.0,78,0.06105006105006105
2949,3548,Fédération Départementale des Foyers Ruraux - Seine-et-Marne,1.0,77,0.06105006105006105
2950,3550,Kocoya,1.0,75,0.06105006105006105
2952,3552,Diamant d'Afrique,1.0,94,0.06105006105006105
1329,1677,France Victimes 78 - SOS Victimes 78,1.0,78,0.06105006105006105
1327,1675,Groupement hospitalier de territoire Yvelines-Nord,1.0,78,0.06105006105006105
1151,1458,RESF LDH,1.0,75,0.06105006105006105
1128,1432,Petits frères des pauvres,1.0,75,0.06105006105006105
1150,1457,Réseau SOLIPAM Ile De France,1.0,75,0.06105006105006105
916,1178,Croix-Rouge française | Vestiboutique et Babyboutique 18,1.0,75,0.06105006105006105
2233,2668,Restos du Coeur,1.0,94,0.06105006105006105
3199,3827,Association Toit à Moi,1.0,77,0.06105006105006105
3200,3828,Le Kfé des Familles,1.0,33,0.06105006105006105
3202,3830,Mission Locale de la Seine et du Loing,1.0,77,0.06105006105006105
934,1197,Centre Social Espace Torcy - École Normale Sociale,1.0,75,0.06105006105006105
933,1196,EACP (Équipe d’Action contre le Proxénétisme),1.0,75,0.06105006105006105
932,1195,E2C,1.0,75,0.06105006105006105
930,1192,Depaul France,1.0,75,0.06105006105006105
2234,2669,Secours Catholique,1.0,94,0.06105006105006105
929,1191,Cyber Ecrivain Public©,1.0,75,0.06105006105006105
2241,2676,Association Joly,1.0,94,0.06105006105006105
3206,3834,Fondation OPEJ 95,1.0,95,0.06105006105006105
926,1188,CSAPA | CSAPA Horizons,1.0,75,0.06105006105006105
925,1187,CSAPA | CSAPA CAP 14,1.0,75,0.06105006105006105
922,1184,"CSAPA (Centre de Soins, d'Accompagnement et de Prévention en Addictologie) | CSAPA Drogue et Jeunesse - Centre ADAJE",1.0,75,0.06105006105006105
2242,2677,La Maison de Karim,1.0,94,0.06105006105006105
2291,2729,Mairie de Périgny,1.0,94,0.06105006105006105
943,1206,Emmaüs | ESI Traversière,1.0,75,0.06105006105006105
2232,2667,Office Municipal des Migrants,1.0,94,0.06105006105006105
3196,3824,CSAPA Le Carrousel à Melun,1.0,77,0.06105006105006105
953,1217,Entraides Citoyennes,1.0,75,0.06105006105006105
965,1230,ESI Halle Saint-Didier et ESI René Coty,1.0,75,0.06105006105006105
